NID,ID,PROYECTO,SONDAJE,ESTE,SUR,HUSO,ZONA,TIPO,ZI,ZF,N1,N2,N3,NR,TIPO DE SUELO,DUREZA ESTIMADA,N FREATICO,DESCRIPCION,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,8.00,9.50,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,9.50,11.00,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,11.00,12.50,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,12.50,14.00,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,14.00,15.50,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,15.50,17.00,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,17.00,18.50,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,18.50,20,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,20.00,21.5,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,21.50,23,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,23.00,24.5,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,24.50,26,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,26.00,27.5,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,27.50,29,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-1,668758.70,5934440.23,18,H,,29.00,30.5,,,,,Granular,Muy compacta,,Arenisca cementada color gris verdoso. Muy compacta.,,,,
,,Edificio Oficinas,S-2,668742.63,5934439.72,18,H,,0.00,1,,,,,,-,,Base estabilizada y maicillo. Compacta.,,,,
,,Edificio Oficinas,S-2,668742.63,5934439.72,18,H,,1.00,1.45,,,,,Granular,Muy suelta,,Arena arcillosa color café con gravas dispersas. Probable relleno.,,,,
,,Edificio Oficinas,S-2,668742.63,5934439.72,18,H,,2.00,2.45,,,,,Granular,Muy suelta,,Arena media mal graduada. Compacidad media. Humedad alta.,,,,
,,Edificio Oficinas,S-2,668742.63,5934439.72,18,H,,3.00,3.45,,,,,Granular,Suelta,,Arena bien graduada media a gruesa. Compacta. Humedad alta.,,,,
,,Edificio Oficinas,S-2,668742.63,5934439.72,18,H,,4.00,4.45,,,,,Granular,Media,,Arena bien graduada media a gruesa. Compacta. Humedad alta.,,,,
